cluster_id,size,percentage,keywords,sentiment_distribution
0,464,7.7%,"['très', 'الأسنان', 'dentist', 'dentiste', 'practice', 'treatment', 'cabinet', 'traitement', 'للغاية', 'الدكتور']","{'positive': 366, 'negative': 73, 'neutral': 25}"
1,286,4.8%,"['time', 'practice', 'always', 'good', 'friendly', 'treatment', 'also', 'waiting', 'takes', 'patients']","{'positive': 205, 'negative': 62, 'neutral': 19}"
2,415,6.9%,"['الدكتور', 'للغاية', 'الطبيب', 'العلاج', 'كانت', 'الانتظار', 'بشكل', 'الممارسة', 'الوقت', 'très']","{'positive': 204, 'negative': 146, 'neutral': 65}"
3,472,7.9%,"['très', 'good', 'sympathique', 'للغاية', 'friendly', 'freundlich', 'kompetent', 'competent', 'super', 'toujours']","{'positive': 424, 'negative': 29, 'neutral': 19}"
4,295,4.9%,"['très', 'enfants', 'toujours', 'children', 'للغاية', 'practice', 'temps', 'friendly', 'bien', 'always']","{'positive': 213, 'negative': 60, 'neutral': 22}"
5,374,6.2%,"['wurde', 'behandlung', 'zeit', 'immer', 'jahren', 'schon', 'patienten', 'freundlich', 'seit', 'mehr']","{'positive': 151, 'negative': 141, 'neutral': 82}"
6,424,7.1%,"['très', 'zeit', 'freundlich', 'immer', 'patienten', 'kompetent', 'competent', 'friendly', 'practice', 'time']","{'positive': 370, 'negative': 35, 'neutral': 19}"
7,345,5.8%,"['très', 'practice', 'team', 'friendly', 'treatment', 'well', 'good', 'competent', 'patients', 'always']","{'positive': 325, 'neutral': 10, 'negative': 10}"
8,342,5.7%,"['للغاية', 'الدكتور', 'دائم', 'الطبيب', 'أوصي', 'السيدة', 'الوقت', 'الممارسة', 'بشكل', 'أمينة']","{'positive': 298, 'negative': 27, 'neutral': 17}"
9,292,4.9%,"['behandlung', 'patienten', 'très', 'zeit', 'immer', 'patients', 'tout', 'wurde', 'temps', 'être']","{'positive': 143, 'negative': 124, 'neutral': 25}"
10,356,5.9%,"['très', 'temps', 'prend', 'time', 'zeit', 'questions', 'bien', 'waiting', 'toujours', 'nimmt']","{'positive': 278, 'negative': 51, 'neutral': 27}"
11,133,2.2%,"['très', 'pregnancy', 'practice', 'always', 'grossesse', 'temps', 'good', 'الدكتور', 'للغاية', 'also']","{'positive': 90, 'negative': 36, 'neutral': 7}"
12,311,5.2%,"['très', 'الدكتور', 'pain', 'operation', 'opération', 'après', 'douleur', 'traitement', 'plus', 'treatment']","{'positive': 167, 'negative': 103, 'neutral': 41}"
13,167,2.8%,"['team', 'très', 'équipe', 'للغاية', 'super', 'friendly', 'sympathique', 'فريق', 'practice', 'bien']","{'positive': 163, 'negative': 3, 'neutral': 1}"
14,292,4.9%,"['très', 'operation', 'time', 'practice', 'الدكتور', 'للغاية', 'treatment', 'good', 'also', 'well']","{'positive': 151, 'negative': 98, 'neutral': 43}"
15,135,2.2%,"['zeit', 'immer', 'wurde', 'behandlung', 'freundlich', 'team', 'empfehlen', 'patienten', 'nimmt', 'schon']","{'positive': 74, 'negative': 35, 'neutral': 26}"
16,352,5.9%,"['très', 'cabinet', 'temps', 'attente', 'toujours', 'plus', 'patients', 'time', 'bien', 'sympathique']","{'positive': 172, 'negative': 150, 'neutral': 30}"
17,240,4.0%,"['très', 'للغاية', 'temps', 'الممارسة', 'cabinet', 'الانتظار', 'attente', 'bien', 'tout', 'plus']","{'positive': 159, 'negative': 61, 'neutral': 20}"
18,305,5.1%,"['très', 'treatment', 'traitement', 'behandlung', 'time', 'temps', 'zeit', 'competent', 'good', 'wurde']","{'positive': 251, 'neutral': 31, 'negative': 23}"
